GeoFips,GeoName,LineCode,Description,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
2000,Alaska,1000,      Finance and insurance,10009,10288,10157,10737,11272,11432,11029,11683,11399,11535,11406
2000,Alaska,1100,      Real estate and rental and leasing,12841,13647,14144,14064,14558,14841,15322,15463,15379,15814,15873
2000,Alaska,1200,"      Professional, scientific, and technical services",21111,21267,21677,22795,23652,23762,24093,24376,24782,25122,24953
2000,Alaska,1300,      Management of companies and enterprises,2391,2366,2568,2630,2840,2921,2960,2994,3281,3358,3313
2000,Alaska,1400,      Administrative and support and waste management and remediation services,16041,16009,16293,17002,17216,16991,16629,16714,17199,17543,17758
2000,Alaska,1500,      Educational services,4767,4906,5180,5209,5124,5262,5531,5421,5455,5758,5958
2000,Alaska,1600,      Health care and social assistance,40334,41004,41930,42749,43230,44582,46378,47774,49776,50269,49939
2000,Alaska,1700,"      Arts, entertainment, and recreation",8921,9389,9510,10026,10314,10205,10113,10502,10590,10615,10691
2000,Alaska,1800,      Accommodation and food services,30682,31179,31809,32165,32172,31091,31435,32408,32923,33203,33765
2000,Alaska,1900,      Other services (except public administration),19366,19499,19429,19952,19572,19892,19237,19647,20460,20624,21150
2000,Alaska,2000,    Government and government enterprises,100680,101351,104334,105084,105724,107908,108188,108856,108934,107549,105738
2000,Alaska,2001,"      Federal, civilian",17244,17039,16739,16866,16933,17101,17588,17071,16420,15500,14921
2000,Alaska,2002,      Military,23831,24104,26394,26515,26695,27748,27002,27886,27948,27457,26347
2000,Alaska,2010,      State and local,59605,60208,61201,61703,62096,63059,63598,63899,64566,64592,64470
2000,Alaska,2011,        State government,23256,23518,23893,24363,24616,24909,25355,25492,25782,26397,26684
2000,Alaska,2012,        Local government,36349,36690,37308,37340,37480,38150,38243,38407,38784,38195,37786
4000,Arizona,1,Total Private Employment,2638244,2806668,2963503,3044259,2975001,2811275,2759337,2826632,2879592,2954531,3016772
4000,Arizona,10,Total employment,3063915,3238928,3401000,3494178,3434174,3264077,3208325,3268482,3322733,3398932,3461581
4000,Arizona,20,  Wage and salary employment,2483655,2614649,2744187,2780306,2715448,2526934,2476001,2503192,2560624,2619456,2672673
4000,Arizona,40,  Proprietors employment,580260,624279,656813,713872,718726,737143,732324,765290,762109,779476,788908
4000,Arizona,50,    Farm proprietors employment,9541,9557,9446,15021,15640,16253,17192,18184,18977,18748,18757
4000,Arizona,60,    Nonfarm proprietors employment,570719,614722,647367,698851,703086,720890,715132,747106,743132,760728,770151
4000,Arizona,70,  Farm employment,22562,23372,22869,28293,27256,28387,28609,29707,31603,32714,31102
4000,Arizona,80,  Nonfarm employment,3041353,3215556,3378131,3465885,3406918,3235690,3179716,3238775,3291130,3366218,3430479
4000,Arizona,90,    Private nonfarm employment,2615682,2783296,2940634,3015966,2947745,2782888,2730728,2796925,2847989,2921817,2985670
4000,Arizona,100,"      Forestry, fishing, and related activities",17857,17053,17332,17431,16417,15074,15598,15733,15317,15325,15492
4000,Arizona,200,"      Mining, quarrying, and oil and gas extraction",11538,11971,13674,16285,19175,16574,18034,17791,22674,23224,23762
4000,Arizona,300,      Utilities,11735,12160,12753,13184,13305,12845,12509,12287,12617,12294,12352
4000,Arizona,400,      Construction,241309,274535,298715,284461,242511,182090,160051,160163,166259,175160,177409
4000,Arizona,500,      Manufacturing,186862,190472,195792,193404,183866,165534,159055,161741,166916,168611,170847
4000,Arizona,510,        Durable goods manufacturing,148750,152294,156926,155268,146915,130477,124786,126493,130261,130737,131530
4000,Arizona,530,        Nondurable goods manufacturing,38112,38178,38866,38136,36951,35057,34269,35248,36655,37874,39317
4000,Arizona,600,      Wholesale trade,106340,111860,117889,122208,120933,113235,108897,109906,110203,111177,107369
4000,Arizona,700,      Retail trade,352957,375638,392062,403700,389308,364832,353667,357832,359248,363762,377982
4000,Arizona,800,      Transportation and warehousing,85535,89674,95183,97655,95497,91074,87682,92606,96281,97763,101125
4000,Arizona,900,      Information,56681,54686,53901,51864,51310,49047,47241,47521,48836,53065,54809
4000,Arizona,1000,      Finance and insurance,162832,171299,178283,188282,191054,198846,192286,204257,205210,212731,216841
4000,Arizona,1100,      Real estate and rental and leasing,174883,199149,215164,225252,221073,216401,216942,223041,217694,219694,221120
4000,Arizona,1200,"      Professional, scientific, and technical services",183613,192337,206142,218230,218054,207543,205462,207246,206903,212609,216827
4000,Arizona,1300,      Management of companies and enterprises,24456,25714,28057,29700,32338,31475,29965,29653,31339,33719,34839
4000,Arizona,1400,      Administrative and support and waste management and remediation services,250071,270539,288471,293564,279164,253265,251127,256640,264182,278819,285219
4000,Arizona,1500,      Educational services,45162,50203,54391,55441,58909,62106,67441,69042,72111,72011,73887
4000,Arizona,1600,      Health care and social assistance,264216,276489,292238,308724,323260,329042,340514,350105,359174,366171,373099
4000,Arizona,1700,"      Arts, entertainment, and recreation",58697,61022,64170,68579,69929,66812,67079,68244,70676,71690,74922
4000,Arizona,1800,      Accommodation and food services,226348,238639,249719,253742,250324,238816,235904,242784,247565,256406,264398
4000,Arizona,1900,      Other services (except public administration),154590,159856,166698,174260,171318,168277,161274,170333,174784,177586,183371
4000,Arizona,2000,    Government and government enterprises,425671,432260,437497,449919,459173,452802,448988,441850,443141,444401,444809
4000,Arizona,2001,"      Federal, civilian",51162,51897,52203,52420,54486,56873,60017,57269,56477,55597,54659
4000,Arizona,2002,      Military,34527,34147,33188,33789,33842,34453,34886,34048,33381,33307,32719
4000,Arizona,2010,      State and local,339982,346216,352106,363710,370845,361476,354085,350533,353283,355497,357431
4000,Arizona,2011,        State government,83818,84570,84591,88016,88214,84355,83447,84032,85395,88036,89200
4000,Arizona,2012,        Local government,256164,261646,267515,275694,282631,277121,270638,266501,267888,267461,268231
5000,Arkansas,1,Total Private Employment,1286922,1312610,1340540,1356515,1350578,1313236,1307232,1329763,1331903,1336715,1356034
5000,Arkansas,10,Total employment,1504596,1535522,1569147,1586378,1583371,1549414,1544100,1564407,1567455,1570635,1588025
5000,Arkansas,20,  Wage and salary employment,1217038,1234346,1259396,1261861,1262593,1226505,1221252,1225681,1230546,1232039,1245380
5000,Arkansas,40,  Proprietors employment,287558,301176,309751,324517,320778,322909,322848,338726,336909,338596,342645
5000,Arkansas,50,    Farm proprietors employment,43420,42861,41518,43801,43258,42629,42259,41670,40690,40643,40116
5000,Arkansas,60,    Nonfarm proprietors employment,244138,258315,268233,280716,277520,280280,280589,297056,296219,297953,302529
5000,Arkansas,70,  Farm employment,55141,53795,53754,54346,55605,55000,55128,53691,49696,51825,51421
5000,Arkansas,80,  Nonfarm employment,1449455,1481727,1515393,1532032,1527766,1494414,1488972,1510716,1517759,1518810,1536604
5000,Arkansas,90,    Private nonfarm employment,1231781,1258815,1286786,1302169,1294973,1258236,1252104,1276072,1282207,1284890,1304613
5000,Arkansas,100,"      Forestry, fishing, and related activities",14815,14728,14271,14308,14299,13927,13936,13894,14508,14449,14725
5000,Arkansas,200,"      Mining, quarrying, and oil and gas extraction",6941,7392,8750,11273,14817,14779,16772,15852,18676,18165,18132
5000,Arkansas,300,      Utilities,6706,6814,7061,7253,7318,7290,7574,7389,7913,8301,8138
5000,Arkansas,400,      Construction,92631,99787,103192,102133,99203,93127,86741,85637,85500,83259,84507
5000,Arkansas,500,      Manufacturing,207931,205232,203117,193773,186189,166782,162805,162500,159534,157643,159176
5000,Arkansas,510,        Durable goods manufacturing,110929,109861,109661,103396,97742,82660,80102,81057,79910,78846,79901
5000,Arkansas,530,        Nondurable goods manufacturing,97002,95371,93456,90377,88447,84122,82703,81443,79624,78797,79275
5000,Arkansas,600,      Wholesale trade,49895,51821,52430,52834,52787,50913,50228,50979,51382,50536,50737
5000,Arkansas,700,      Retail trade,163113,164560,166027,167310,164217,160450,158592,162151,162541,163727,167213
5000,Arkansas,800,      Transportation and warehousing,71985,73768,75396,76251,72336,66398,64631,66493,67083,66419,67832
5000,Arkansas,900,      Information,23002,22997,22857,22722,21642,20235,19446,19247,18470,18560,18081
5000,Arkansas,1000,      Finance and insurance,49407,49974,51579,54286,55539,57117,55730,59388,57965,58609,58447
5000,Arkansas,1100,      Real estate and rental and leasing,40923,45240,47778,50978,51032,50410,51644,52141,51803,51875,51829
5000,Arkansas,1200,"      Professional, scientific, and technical services",54099,56125,58294,61380,61424,60059,60762,61889,61138,62517,63535
5000,Arkansas,1300,      Management of companies and enterprises,23171,24110,24785,25603,27184,28225,27831,27946,32013,32478,33508
5000,Arkansas,1400,      Administrative and support and waste management and remediation services,73649,75336,78563,80601,79482,77599,81006,85056,83058,85754,89342
5000,Arkansas,1500,      Educational services,15597,16311,17631,18136,18498,19386,20528,20818,20837,21642,22280
5000,Arkansas,1600,      Health care and social assistance,146073,150052,154643,159998,165289,169555,172891,175586,179062,178962,179811
5000,Arkansas,1700,"      Arts, entertainment, and recreation",16147,16754,17267,18138,18713,18579,18770,19329,19703,20118,20782
5000,Arkansas,1800,      Accommodation and food services,88228,91163,94879,96691,98076,97179,96139,98547,100365,102437,104773
5000,Arkansas,1900,      Other services (except public administration),87468,86651,88266,88501,86928,86226,86078,91230,90656,89439,91765
5000,Arkansas,2000,    Government and government enterprises,217674,222912,228607,229863,232793,236178,236868,234644,235552,233920,231991
5000,Arkansas,2001,"      Federal, civilian",20885,20931,20926,20935,21304,21835,22916,21101,20675,20434,20202
5000,Arkansas,2002,      Military,18731,20925,20866,20610,18741,19011,18101,17936,18168,18718,18073
5000,Arkansas,2010,      State and local,178058,181056,186815,188318,192748,195332,195851,195607,196709,194768,193716
5000,Arkansas,2011,        State government,70124,71132,74761,75068,78741,81470,81412,82086,83963,83190,83135
5000,Arkansas,2012,        Local government,107934,109924,112054,113250,114007,113862,114439,113521,112746,111578,110581
6000,California,1,Total Private Employment,17224390,17605167,17972269,18323477,18061354,17307574,17125657,17555876,18259171,18907174,19423429
6000,California,10,Total employment,19876899,20255748,20644868,21040405,20818920,20038208,19803742,20172087,20850443,21496020,22040057
6000,California,20,  Wage and salary employment,15700214,15890483,16140320,16275235,16094500,15215311,14958113,15109943,15726659,16209759,16688639
6000,California,40,  Proprietors employment,4176685,4365265,4504548,4765170,4724420,4822897,4845629,5062144,5123784,5286261,5351418
6000,California,50,    Farm proprietors employment,66790,65734,63912,67902,66821,65844,65372,64615,64125,64457,63251
6000,California,60,    Nonfarm proprietors employment,4109895,4299531,4440636,4697268,4657599,4757053,4780257,4997529,5059659,5221804,5288167
6000,California,70,  Farm employment,277367,244144,222890,235574,222628,226901,232545,228092,222915,230339,243247
6000,California,80,  Nonfarm employment,19599532,20011604,20421978,20804831,20596292,19811307,19571197,19943995,20627528,21265681,21796810
6000,California,90,    Private nonfarm employment,16947023,17361023,17749379,18087903,17838726,17080673,16893112,17327784,18036256,18676835,19180182
6000,California,100,"      Forestry, fishing, and related activities",188537,198930,200172,208799,213915,203916,213078,216425,224283,234875,239317
6000,California,200,"      Mining, quarrying, and oil and gas extraction",34725,36535,40463,44849,54556,52571,60508,54955,69165,70289,74205
6000,California,300,      Utilities,57711,57731,58188,60290,61741,62187,59394,60234,61631,61307,60497
6000,California,400,      Construction,1168899,1250501,1288556,1248774,1129064,953232,867821,870089,910170,967106,1009359
6000,California,500,      Manufacturing,1601699,1582917,1576735,1547902,1503571,1376597,1323014,1335897,1346373,1357683,1386726
6000,California,510,        Durable goods manufacturing,1009365,1006628,1001277,972672,943599,850889,815572,827883,831032,835143,852397
6000,California,530,        Nondurable goods manufacturing,592334,576289,575458,575230,559972,525708,507442,508014,515341,522540,534329
6000,California,600,      Wholesale trade,735562,762394,789115,804519,791194,732831,724871,746526,760934,784407,797591
6000,California,700,      Retail trade,2022284,2074895,2098598,2115138,2044510,1920703,1881573,1924630,1953552,2001006,2037193
6000,California,800,      Transportation and warehousing,564509,583580,595590,619559,609824,580729,569185,585522,611761,641042,668898
6000,California,900,      Information,562258,558749,554533,558746,548416,516054,508714,516892,518384,535261,549517
6000,California,1000,      Finance and insurance,908490,938936,945543,973892,979254,1015633,962675,1023358,1020205,1024529,1018599
6000,California,1100,      Real estate and rental and leasing,1015931,1115694,1176194,1192264,1155318,1143072,1175798,1216287,1207922,1235793,1245909
6000,California,1200,"      Professional, scientific, and technical services",1563208,1595845,1656650,1756506,1782579,1702816,1704039,1742522,1798286,1854143,1894820
6000,California,1300,      Management of companies and enterprises,242629,233160,223623,217505,223249,214729,208248,214031,219124,234637,243062
6000,California,1400,      Administrative and support and waste management and remediation services,1276716,1287820,1338307,1353911,1305047,1225032,1248950,1277776,1338444,1404979,1456983
6000,California,1500,      Educational services,370351,381553,397011,400488,413523,430002,439408,445702,465196,484341,497758
6000,California,1600,      Health care and social assistance,1631906,1641998,1682275,1761525,1802158,1830411,1865406,1897240,2217164,2351578,2418291
6000,California,1700,"      Arts, entertainment, and recreation",486690,494812,507750,531449,540704,529319,539024,552042,572278,587562,603203
6000,California,1800,      Accommodation and food services,1313597,1347468,1390708,1425448,1435004,1375892,1371093,1410521,1455456,1529345,1601752
6000,California,1900,      Other services (except public administration),1201321,1217505,1229368,1266339,1245099,1214947,1170313,1237135,1285928,1316952,1376502
6000,California,2000,    Government and government enterprises,2652509,2650581,2672599,2716928,2757566,2730634,2678085,2616211,2591272,2588846,2616628
6000,California,2001,"      Federal, civilian",251560,250886,247815,246582,248580,253732,269052,255710,251499,246629,243381
6000,California,2002,      Military,233115,223452,221359,217925,223457,224561,223833,218883,216386,213744,208077
6000,California,2010,      State and local,2167834,2176243,2203425,2252421,2285529,2252341,2185200,2141618,2123387,2128473,2165170
6000,California,2011,        State government,471592,465638,476567,491467,500896,502447,496184,494167,491120,494794,503406
6000,California,2012,        Local government,1696242,1710605,1726858,1760954,1784633,1749894,1689016,1647451,1632267,1633679,1661764
8000,Colorado,1,Total Private Employment,2558626,2628073,2695284,2796883,2818493,2724214,2687538,2748166,2803367,2888469,2980934
8000,Colorado,10,Total employment,2964448,3040896,3112200,3220435,3255874,3171779,3142160,3203580,3260210,3353830,3452307
8000,Colorado,20,  Wage and salary employment,2301880,2351292,2404895,2454794,2482214,2378317,2349153,2387218,2438809,2509143,2596484
8000,Colorado,40,  Proprietors employment,662568,689604,707305,765641,773660,793462,793007,816362,821401,844687,855823
8000,Colorado,50,    Farm proprietors employment,29148,28483,27899,33143,32689,32193,32509,32842,32133,32053,31528
8000,Colorado,60,    Nonfarm proprietors employment,633420,661121,679406,732498,740971,761269,760498,783520,789268,812634,824295
8000,Colorado,70,  Farm employment,43337,42610,41867,45046,45177,44244,45101,44719,44090,44816,43488
8000,Colorado,80,  Nonfarm employment,2921111,2998286,3070333,3175389,3210697,3127535,3097059,3158861,3216120,3309014,3408819
8000,Colorado,90,    Private nonfarm employment,2515289,2585463,2653417,2751837,2773316,2679970,2642437,2703447,2759277,2843653,2937446
8000,Colorado,100,"      Forestry, fishing, and related activities",9226,9475,9551,10377,10994,11626,11781,11784,12098,12306,12410
8000,Colorado,200,"      Mining, quarrying, and oil and gas extraction",24263,27470,32685,39379,48345,43647,49007,48485,60577,63186,69000
8000,Colorado,300,      Utilities,8270,8366,8550,8523,8889,8873,8744,8589,8509,8345,8706
8000,Colorado,400,      Construction,224802,238627,248175,250657,241464,207727,185757,182129,186679,202941,219108
8000,Colorado,500,      Manufacturing,162134,161564,160978,159571,156342,144236,138401,143624,146989,149394,154401
8000,Colorado,510,        Durable goods manufacturing,107923,108081,108270,106764,103692,93669,89455,93274,95478,96095,98818
8000,Colorado,530,        Nondurable goods manufacturing,54211,53483,52708,52807,52650,50567,48946,50350,51511,53299,55583
8000,Colorado,600,      Wholesale trade,102274,104710,107936,110812,111214,104640,101591,103342,105189,107843,111065
8000,Colorado,700,      Retail trade,308328,316490,319112,324902,318695,305714,299451,306060,307901,314282,320935
8000,Colorado,800,      Transportation and warehousing,81689,82789,83857,87861,86821,81758,78822,81505,84598,88007,92012
8000,Colorado,900,      Information,91778,89570,87744,89513,89388,86670,83856,84972,82210,82650,83016
8000,Colorado,1000,      Finance and insurance,160619,164820,167205,178803,186678,198114,191149,203376,201477,204508,204883
8000,Colorado,1100,      Real estate and rental and leasing,153472,163580,168847,176307,176106,171643,173720,178047,176112,182135,184331
8000,Colorado,1200,"      Professional, scientific, and technical services",240486,248148,256636,274990,281533,275962,274581,278084,284259,297553,306775
8000,Colorado,1300,      Management of companies and enterprises,25245,27200,29498,30761,32529,32036,32314,33305,35477,38522,39475
8000,Colorado,1400,      Administrative and support and waste management and remediation services,177429,178876,188463,199651,197084,185538,185878,188133,195903,199921,206143
8000,Colorado,1500,      Educational services,46294,49914,52682,52557,55258,56993,59399,59862,62244,65606,68124
8000,Colorado,1600,      Health care and social assistance,235881,240046,246753,258887,268463,274100,281104,288191,295809,299129,310523
8000,Colorado,1700,"      Arts, entertainment, and recreation",76229,78672,80320,83712,86137,85382,86329,88414,90725,91269,93898
8000,Colorado,1800,      Accommodation and food services,223450,228703,236179,240941,243091,233419,233061,241936,248201,258151,267377
8000,Colorado,1900,      Other services (except public administration),163420,166443,168246,173633,174285,171892,167492,173609,174320,177905,185264
8000,Colorado,2000,    Government and government enterprises,405822,412823,416916,423552,437381,447565,454622,455414,456843,465361,471373
8000,Colorado,2001,"      Federal, civilian",53015,52800,52300,52252,52504,53604,56294,55007,54683,53623,52768
8000,Colorado,2002,      Military,42745,44129,42751,43391,45858,49592,54044,55495,54084,53966,54316
8000,Colorado,2010,      State and local,310062,315894,321865,327909,339019,344369,344284,344912,348076,357772,364289
8000,Colorado,2011,        State government,85358,87687,87995,90270,94230,96859,97962,99924,102977,110521,111895
8000,Colorado,2012,        Local government,224704,228207,233870,237639,244789,247510,246322,244988,245099,247251,252394
9000,Connecticut,1,Total Private Employment,1865347,1892182,1924453,1969581,1977696,1923657,1896634,1935940,1950463,1972816,1994439
9000,Connecticut,10,Total employment,2130254,2159357,2192075,2238029,2250277,2192926,2162120,2196944,2212158,2234510,2256250
9000,Connecticut,20,  Wage and salary employment,1725032,1734386,1751451,1767373,1769889,1699245,1673114,1688186,1706144,1717967,1734286
9000,Connecticut,40,  Proprietors employment,405222,424971,440624,470656,480388,493681,489006,508758,506014,516543,521964
9000,Connecticut,50,    Farm proprietors employment,3758,3728,3646,4189,4397,4567,4777,5069,5172,5299,5303
9000,Connecticut,60,    Nonfarm proprietors employment,401464,421243,436978,466467,475991,489114,484229,503689,500842,511244,516661
9000,Connecticut,70,  Farm employment,8898,8638,8079,8416,9003,9016,9172,9875,9947,10762,10774
9000,Connecticut,80,  Nonfarm employment,2121356,2150719,2183996,2229613,2241274,2183910,2152948,2187069,2202211,2223748,2245476
9000,Connecticut,90,    Private nonfarm employment,1856449,1883544,1916374,1961165,1968693,1914641,1887462,1926065,1940516,1962054,1983665
9000,Connecticut,100,"      Forestry, fishing, and related activities",2510,2493,2527,2625,2654,2582,2419,2395,2433,2469,2563
9000,Connecticut,200,"      Mining, quarrying, and oil and gas extraction",1870,1894,2084,2394,2903,2689,3041,2601,3607,3493,3744
9000,Connecticut,300,      Utilities,8810,8763,6886,6927,7118,6956,6696,6529,6339,6531,6483
9000,Connecticut,400,      Construction,117422,122723,126442,128443,123032,110374,101650,103212,104283,107771,110884
9000,Connecticut,500,      Manufacturing,204571,202291,201024,199243,194680,179782,173110,174276,173431,172736,169244
9000,Connecticut,510,        Durable goods manufacturing,151215,150374,150273,149678,148382,137647,132300,133795,133902,133089,130220
9000,Connecticut,530,        Nondurable goods manufacturing,53356,51917,50751,49565,46298,42135,40810,40481,39529,39647,39024
9000,Connecticut,600,      Wholesale trade,72116,73975,75380,75582,76739,72521,69903,71105,70542,70299,70277
9000,Connecticut,700,      Retail trade,228893,231464,231469,231938,227163,217908,214108,217174,218182,220618,222359
9000,Connecticut,800,      Transportation and warehousing,50618,52225,52750,53570,52957,50249,48880,50916,52099,53105,54818
9000,Connecticut,900,      Information,45045,44950,44274,44731,44111,40619,38245,38420,38088,39126,39140
9000,Connecticut,1000,      Finance and insurance,162366,165070,168341,178725,189732,200595,193864,204873,200845,200099,196669
9000,Connecticut,1100,      Real estate and rental and leasing,81005,88390,92116,97910,98390,96654,99976,102296,99762,99872,100438
9000,Connecticut,1200,"      Professional, scientific, and technical services",151376,150604,154307,160174,160373,153632,152650,153846,154604,156117,161827
9000,Connecticut,1300,      Management of companies and enterprises,26493,26418,27827,28213,31154,30305,30409,31141,33128,33244,34539
9000,Connecticut,1400,      Administrative and support and waste management and remediation services,114297,115726,119685,122211,118493,109481,110144,112404,115905,117965,119229
9000,Connecticut,1500,      Educational services,66172,67043,69488,70981,73018,75628,78457,78155,79373,80818,83434
9000,Connecticut,1600,      Health care and social assistance,251191,253799,259335,268627,275809,280369,283738,287921,292376,296077,299164
9000,Connecticut,1700,"      Arts, entertainment, and recreation",45863,46152,46556,47503,48699,48230,48825,50062,51224,52204,53218
9000,Connecticut,1800,      Accommodation and food services,113396,115983,119800,122838,124703,121683,121429,125481,129250,133602,136131
9000,Connecticut,1900,      Other services (except public administration),112435,113581,116083,118530,116965,114384,109918,113258,115045,115908,119504
9000,Connecticut,2000,    Government and government enterprises,264907,267175,267622,268448,272581,269269,265486,261004,261695,261694,261811
9000,Connecticut,2001,"      Federal, civilian",20248,19983,19754,19663,19557,19355,19720,18060,17704,17387,17469
9000,Connecticut,2002,      Military,15703,14826,15069,14273,14060,14456,14694,14504,14551,14618,13925
9000,Connecticut,2010,      State and local,228956,232366,232799,234512,238964,235458,231072,228440,229440,229689,230417
9000,Connecticut,2011,        State government,72581,75277,74139,74870,77463,76465,75171,75000,76713,77597,77956
9000,Connecticut,2012,        Local government,156375,157089,158660,159642,161501,158993,155901,153440,152727,152092,152461
